Time Travel & Paradoxes,What is “multiverse” theory?,Existence of many parallel universes,One universe,Time travel device,Black hole,1
Time Travel & Paradoxes,What is a “temporal anomaly”?,Irregularity in time flow,Space event,Black hole,Alien signal,1
Time Travel & Paradoxes,What is “chronon”?,Hypothetical quantum of time,Time machine,Time traveler,Time portal,1
Time Travel & Paradoxes,What is “time freeze”?,Stopping time flow,Time travel,Parallel universe,Alternate timeline,1
Time Travel & Paradoxes,What is “future shock”?,Disorientation from rapid change,Time travel sickness,Alien contact,Space travel sickness,1
Time Travel & Paradoxes,What is “time remnant”?,Duplicate self from time travel,Time traveler,Time machine,Alternate reality,1
Time Travel & Paradoxes,What is “temporal displacement”?,Moving through time,Moving through space,Parallel universe,Alternate timeline,1
Time Travel & Paradoxes,What is “time traveler’s dilemma”?,Deciding whether to change past,Choosing future path,Encountering aliens,Traveling faster than light,1
Time Travel & Paradoxes,What is a “parallel timeline”?,Alternate version of history,Same timeline,Different planet,Space colony,1
Time Travel & Paradoxes,What is “future memory”?,Remembering events before they happen,Time travel,Alien ability,Psychic power,1
Time Travel & Paradoxes,What is “retrograde motion” in time travel?,Movement backward in time,Forward motion,Stationary time,Time freeze,1
Time Travel & Paradoxes,What is “time vortex”?,Spiral of time distortion,Black hole,Space portal,Alien weapon,1
Time Travel & Paradoxes,What is “chrononaut”?,Time traveler,Space explorer,Alien visitor,Future human,1
Time Travel & Paradoxes,What is “time paradox resolution”?,Ways to avoid contradictions,Time travel device,Time freeze,Alternate universe,1
Time Travel & Paradoxes,What is “time ripple”?,Small disturbance in time,Black hole effect,Space wave,Alien signal,1
Time Travel & Paradoxes,What is “retro time communication”?,Sending messages to past,Future messaging,Alien communication,Time travel,1
Time Travel & Paradoxes,What is “time dilation effect”?,Slower time at high speed,Time freeze,Time travel,Space travel,1
Time Travel & Paradoxes,What is “time anchor”?,Fixed point in time,Time travel device,Alien signal,Parallel universe,1
Time Travel & Paradoxes,What is “temporal duplication”?,Creating copies via time travel,Time freeze,Alien cloning,Parallel universe,1
Time Travel & Paradozes,What is “time fold”?,Bending time to travel faster,Space warp,Time freeze,Alien technology,1
Time Travel & Paradoxes,What is “causality violation”?,Breaking cause-effect relationship,Time travel,Space travel,Alien contact,1
Time Travel & Paradoxes,What is “chronological loop”?,Events repeating in time,Time freeze,Alien invasion,Space travel,1
Time Travel & Paradozes,What is “time shift”?,Jumping between time periods,Time freeze,Space jump,Alien travel,1
category,question,option1,option2,option3,option4,correct_answer
Post-Humanism & Transcendence,What does “uploading consciousness” refer to?,Transferring mind to a computer,Genetic engineering,Teleportation,Time travel,1
Post-Humanism & Transcendence,What is the “singularity” in futurism?,Point where AI surpasses humans,Human extinction,Space colonization,Time travel,1
Post-Humanism & Transcendence,What is genetic engineering?,Modifying DNA to enhance traits,Alien biology,Space travel method,Robot creation,1
Post-Humanism & Transcendence,What is a “cyborg”?,Human-machine hybrid,Alien species,Robot,AI,1
Post-Humanism & Transcendence,What is “mind uploading”?,Digitizing human consciousness,Creating clones,Space travel,Time freezing,1
Post-Humanism & Transcendence,What is “biohacking”?,Using tech to modify biology,Space travel,Alien contact,Robot programming,1
Post-Humanism & Transcendence,What is “transhumanism”?,Movement to enhance humans with tech,Alien religion,Space law,Robotics,1
Post-Humanism & Transcendence,What is “neural interface”?,Device connecting brain to computers,Space weapon,Alien communication,Time machine,1
Post-Humanism & Transcendence,What is “genome editing”?,Changing DNA sequences,Alien mutation,Robot coding,Space engineering,1
Post-Humanism & Transcendence,What is “digital immortality”?,Consciousness surviving in computers,Time travel,Alien life,Space colonization,1
Post-Humanism & Transcendence,What is “cryonics”?,Freezing bodies for future revival,Space travel,Alien biology,Robot repair,1
Post-Humanism & Transcendence,What is “singularity event”?,Moment AI exceeds human intelligence,Big Bang,Alien invasion,Space war,1
Post-Humanism & Transcendence,What is “synthetic biology”?,Creating life through tech,Alien biology,Space travel,Robot creation,1
Post-Humanism & Transcendence,What is a “post-human”?,Being with enhanced abilities beyond humans,Alien species,Robot,AI,1
Post-Humanism & Transcendence,What is “mind uploading risk”?,Loss of self identity,Alien attack,Robot takeover,Space accident,1
Post-Humanism & Transcendence,What is “brain-computer interface”?,Tech linking brain and computer,Space travel,Alien communication,Robot control,1
Post-Humanism & Transcendence,What is “gene therapy”?,Treating diseases by modifying genes,Alien mutation,Robot programming,Space engineering,1
Post-Humanism & Transcendence,What is “nanotechnology”?,Using tiny machines for biological tasks,Alien tech,Space weapons,Robot parts,1
Post-Humanism & Transcendence,What is “artificial general intelligence”?,AI with human-like reasoning,Simple AI,Space robot,Alien AI,1
Post-Humanism & Transcendence,What is “mind uploading method”?,Scanning brain and transferring data,Genetic editing,Space travel,Robot coding,1
Post-Humanism & Transcendence,What does “genetic enhancement” aim to improve?,Physical and mental traits,Alien biology,Robot efficiency,Space travel,1
Post-Humanism & Transcendence,What is “whole brain emulation”?,Creating a computer model of the brain,Alien cloning,Space AI,Robot control,1
Post-Humanism & Transcendence,What ethical concern relates to genetic engineering?,Playing god,Space law,Alien rights,Robot ethics,1
Post-Humanism & Transcendence,What is “post-human evolution”?,Humanity evolving through tech,Natural evolution,Alien evolution,Robot growth,1
Post-Humanism & Transcendence,What is a “neural lace”?,Brain-computer interface implant,Space suit,Alien device,Robot part,1
Post-Humanism & Transcendence,What is “digital consciousness”?,"Mind existing in digital form,Robot mind,Alien AI,Space computer",1
Post-Humanism & Transcendence,What is the “technological singularity”?,"Point of runaway AI growth,Alien invasion,Space war,Human extinction",1
Post-Humanism & Transcendence,What is “gene editing tool” widely used?,CRISPR,Thermometer,Space probe,Quantum computer,1
Post-Humanism & Transcendence,What is “enhanced longevity” in post-humanism?,Extended lifespan,Alien biology,Robot upgrade,Time travel,1
Post-Humanism & Transcendence,What is “mind transfer”?,"Moving consciousness between bodies or machines,Space travel,Alien communication,Time travel",1
Post-Humanism & Transcendence,What is “cybernetic enhancement”?,Using machines to improve humans,Alien tech,Space travel,Robot parts,1
Post-Humanism & Transcendence,What is a “digital soul”?,"Philosophical idea of consciousness in computers,Alien AI,Robot mind,Space entity",1
Post-Humanism & Transcendence,What is “bioprinting”?,"3D printing of biological tissues,Robot manufacturing,Alien tech,Space suits",1
Post-Humanism & Transcendence,What is “brain scan resolution” important for?,Uploading consciousness,Space travel,Alien communication,Robot control,1
Post-Humanism & Transcendence,What is “human-machine symbiosis”?,Close cooperation between humans and machines,Alien alliance,Space travel,Robot war,1
Post-Humanism & Transcendence,What is “genetic drift”?,Random changes in DNA over generations,Alien mutation,Robot coding,Space anomaly,1
Post-Humanism & Transcendence,What is “synthetic neuron”?,"Artificial brain cell,Robot part,Alien cell,Space component",1
Post-Humanism & Transcendence,What is “mind uploading challenge”?,Preserving identity and consciousness,Space travel,Alien invasion,Robot takeover,1
Post-Humanism & Transcendence,What is “biological singularity”?,"Merging biology and tech beyond limits,Space war,Alien attack,Robot uprising",1
Post-Humanism & Transcendence,What is “digital resurrection”?,Reviving consciousness digitally,Time travel,Alien contact,Space exploration,1
Post-Humanism & Transcendence,What is “post-human ethics”?,Moral issues in human enhancement,Alien rights,Robot laws,Space treaties,1
category,question,option1,option2,option3,option4,correct_answer
Uncharted Worlds,What is a rogue planet?,A planet not orbiting any star,Earth-like planet,Gas giant,Alien homeworld,1
Uncharted Worlds,Which moon is believed to have a subsurface ocean?,Europa,Mars,Titan,Phobos,1
Uncharted Worlds,What is a brown dwarf?,Failed star between planet and star,Gas giant,Ice planet,Star cluster,1
Uncharted Worlds,What is a “super-Earth”?,Exoplanet larger than Earth but smaller than Neptune,Gas giant,Habitable moon,Alien homeworld,1
Uncharted Worlds,What defines a “habitable zone”?,Region where liquid water can exist,Area with stars,Gas giant orbit,Alien territory,1
Uncharted Worlds,What is a “hot Jupiter”?,Large gas planet orbiting close to star,Small rocky planet,Ice giant,Star type,1
Uncharted Worlds,What is a “tidal locking”?,Same side of planet always faces star,Planet rotation reversal,Planet with no orbit,Star explosion,1
Uncharted Worlds,What is a “rogue moon”?,Moon not orbiting a planet,Alien base,Star,Comet,1
Uncharted Worlds,What is a “circumbinary planet”?,Planet orbiting two stars,Planet with rings,Gas giant,Star cluster,1
Uncharted Worlds,What is “terraforming”?,Modifying a planet to support life,Destroying a planet,Alien invasion,Mining operation,1
Uncharted Worlds,Which planet is known for its extreme winds?,Neptune,Mars,Venus,Jupiter,1
Uncharted Worlds,What is an “ocean world”?,Planet covered mostly by water,Mars-like planet,Desert planet,Gas giant,1
Uncharted Worlds,What is a “planetary ring”?,Rings of debris orbiting a planet,Planet’s atmosphere,Ring-shaped star,Moon orbit,1
Uncharted Worlds,What is a “supervolcano”?,Volcano capable of massive eruption,Small volcanic vent,Alien volcano,Space volcano,1
Uncharted Worlds,What is an “ice giant”?,Planet composed mostly of ices like water and methane,Gas giant,Rocky planet,Star,1
Uncharted Worlds,What is a “carbon planet”?,Planet rich in carbon compounds,Earth-like planet,Gas giant,Alien home,1
Uncharted Worlds,What causes “planetary migration”?,Planets changing orbits over time,Alien attack,Star explosion,Space travel,1
Uncharted Worlds,What is a “rogue star”?,Star not bound to galaxy,Gas giant,Alien sun,Planet,1
Uncharted Worlds,What is a “contact binary”?,"Two stars orbiting closely,Planet with two moons,Alien spacecraft,Space station",1
Uncharted Worlds,What is “exomoon”?,Moon orbiting an exoplanet,Alien base,Spacecraft,Star,1
Uncharted Worlds,What is “biosignature”?,Signs of life on a planet,Gas presence,Star type,Planet size,1
Uncharted Worlds,What is “planetary albedo”?,Reflectivity of a planet’s surface,Orbital speed,Mass,Size,1
Uncharted Worlds,What is “lithosphere”?,Planet’s rigid outer shell,Atmosphere,Core,Mantle,1
Uncharted Worlds,What is “magnetosphere”?,Magnetic field protecting a planet,Solar wind,Planet core,Star wind,1
Uncharted Worlds,What is an “ice cap”?,Polar ice coverage on a planet,Desert area,Volcanic region,Oasis,1
Uncharted Worlds,What is “cryovolcanism”?,Volcano erupting ice instead of lava,Lava eruption,Alien volcano,Space volcano,1
Uncharted Worlds,What is a “planetary nebula”?,Cloud of gas from dying star,Planet,Star cluster,Alien structure,1
Uncharted Worlds,What is “stellar parallax”?,Measurement of star distance,Planet orbit,Star size,Alien signal,1
Uncharted Worlds,What is “exoplanet transit method”?,Detecting planets by star brightness dips,Space travel,Alien contact,Star explosion,1
Uncharted Worlds,What is “tidal heating”?,Heat generated by gravitational forces,Sun radiation,Planet core,Alien energy,1
Uncharted Worlds,What is “space weathering”?,Surface changes due to solar wind,Alien attack,Space radiation,Star explosion,1
Uncharted Worlds,What is a “planetary core”?,Center part of a planet,Surface,Atmosphere,Moon,1
Uncharted Worlds,What is “planetary eccentricity”?,Measure of orbit’s deviation from circle,Planet size,Star mass,Alien gravity,1
Uncharted Worlds,What is a “habitable moon”?,Moon capable of supporting life,Alien base,Spacecraft,Star,1
Uncharted Worlds,What is a “rogue asteroid”?,Asteroid not orbiting a star,Space rock,Comet,Planet,1
Uncharted Worlds,What is a “planetary atmosphere”?,Gaseous envelope around a planet,Surface,Core,Moon,1
Uncharted Worlds,What is “cryosphere”?,Frozen surface regions of a planet,Desert,Volcano,Lake,1
Uncharted Worlds,What is a “space anomaly”?,Unexplained space phenomenon,Alien tech,Star,Planet,1
category,question,option1,option2,option3,option4,correct_answer
Astrobiology & Exoplanets,What defines the “habitable zone”?,Region where liquid water can exist,Area with intense radiation,Gas giant orbit,Alien territory,1
Astrobiology & Exoplanets,What is a “biosignature”?,Chemical sign of life,Star brightness,Planet size,Space anomaly,1
Astrobiology & Exoplanets,Which telescope discovered many exoplanets?,Kepler,Hubble,Spitzer,Chandra,1
Astrobiology & Exoplanets,What is extremophile?,Organisms living in extreme conditions,Alien species,Space microbes,Robot bacteria,1
Astrobiology & Exoplanets,What is panspermia?,Theory life came from space,Alien invasion,Planet creation,Robot evolution,1
Astrobiology & Exoplanets,What element is essential for life as we know it?,Carbon,Hydrogen,Oxygen,Helium,1
Astrobiology & Exoplanets,What is the “Great Filter” hypothesis?,Barrier to advanced civilizations,Alien attack,Space war,Time travel,1
Astrobiology & Exoplanets,What is astrobiology?,Study of life in the universe,Star formation,Planet geology,Space law,1
Astrobiology & Exoplanets,What is a “superhabitable” planet?,Better conditions for life than Earth,Gas giant,Desert planet,Alien base,1
Astrobiology & Exoplanets,What molecule is a key biosignature?,Oxygen,Methane,Carbon dioxide,Water vapor,2
Astrobiology & Exoplanets,What is a “red dwarf” star?,Small, cool star type,Large star,White dwarf,Neutron star,1
Astrobiology & Exoplanets,Which gas indicates possible life in atmosphere?,Methane,Oxygen,Nitrogen,Hydrogen,1
Astrobiology & Exoplanets,What is the Drake Equation?,Estimate of communicating civilizations,Planet size formula,Star mass formula,Alien contact code,1
Astrobiology & Exoplanets,What is extremophile’s habitat?,Hot springs,Earth core,Space station,Alien planet,1
Astrobiology & Exoplanets,What is a “biosphere”?,Region supporting life,Star cluster,Gas giant,Black hole,1
Astrobiology & Exoplanets,What type of exoplanet is Kepler-452b?,Super-Earth,Gas giant,Ice giant,Hot Jupiter,1
Astrobiology & Exoplanets,What is the “Fermi Paradox”?,Why we haven’t found aliens yet,Alien invasion,Space war,Time travel paradox,1
Astrobiology & Exoplanets,What is “photosynthesis”?,"Process converting light into energy,Alien tech,Space mining,Robot function",1
Astrobiology & Exoplanets,What is “astrochemistry”?,Study of molecules in space,Star formation,Planet geology,Alien biology,1
Astrobiology & Exoplanets,What is “abiogenesis”?,"Life from non-living matter,Alien evolution,Robot creation,Space anomaly",1
Astrobiology & Exoplanets,What is a “circumstellar habitable zone”?,Habitable zone around star,Planet surface,Alien base,Gas giant,1
Astrobiology & Exoplanets,What is a “water world”?,Planet with global oceans,Desert planet,Gas giant,Ice planet,1
Astrobiology & Exoplanets,Which molecule is a sign of volcanic activity?,Sulfur dioxide,Methane,Oxygen,Nitrogen,1
Astrobiology & Exoplanets,What is “astrobiology mission”?,Space mission searching for life,Space mining,Alien contact,Robot war,1
Astrobiology & Exoplanets,What is “exoplanet atmosphere study”?,Analyzing gases for life signs,Planet geology,Star mass,Alien signals,1
Astrobiology & Exoplanets,What is a “biosignature gas”?,Gas produced by life,Methane,Oxygen,Carbon dioxide,All options,4
Astrobiology & Exoplanets,What planet has the most Earth-like atmosphere discovered?,Kepler-22b,Mars,Venus,Jupiter,1
Astrobiology & Exoplanets,What is a “tidal lock” effect?,One side always faces star,Planet rotation,Star explosion,Alien attack,1
Astrobiology & Exoplanets,What is “planetary habitability”?,Ability to support life,Size,Mass,Gravity,1
Astrobiology & Exoplanets,What is a “biosignature remote sensing”?,Detecting life from afar,Alien message,Robot signal,Space anomaly,1
Astrobiology & Exoplanets,Which moon of Saturn may harbor life?,Enceladus,Mimas,Titan,Rhea,3
Astrobiology & Exoplanets,What is “astroecology”?,Study of ecosystems in space,Alien biology,Space mining,Robot evolution,1
Astrobiology & Exoplanets,What is “chemotroph”?,"Organism using chemicals for energy,Alien species,Robot bacteria,Space microbes",1
Astrobiology & Exoplanets,What is “microbial life”?,"Single-celled life forms,Alien invasion,Robot,Space entity",1
Astrobiology & Exoplanets,What is “red edge” in exoplanet study?,Vegetation signature in light spectrum,Alien signal,Star brightness,Planet size,1
Astrobiology & Exoplanets,What is the main challenge of detecting life on exoplanets?,Distance and faint signals,Alien attack,Space war,Time travel,1
Astrobiology & Exoplanets,What is “astrovirology”?,Study of viruses in space,Alien biology,Robot parts,Space weapons,1
Astrobiology & Exoplanets,What does the term “habitable exomoon” mean?,Moon capable of supporting life,Planet,Star,Alien base,1
Astrobiology & Exoplanets,What is “biosignature false positive”?,Non-biological process mimicking life signs,Alien signal,Robot error,Space anomaly,1
Astrobiology & Exoplanets,What is “planetary protection”?,Preventing contamination of planets,Alien invasion,Robot war,Space mining,1
category,question,option1,option2,option3,option4,correct_answer
Cosmic Phenomena,What causes a supernova?,Exploding massive star,Colliding planets,Alien attack,Black hole,1
Cosmic Phenomena,What are gamma-ray bursts?,Powerful cosmic explosions,Star twinkles,Planet storms,Alien signals,1
Cosmic Phenomena,What is time dilation?,Time slowing near massive objects,Time travel,Time freeze,Alien communication,1
Cosmic Phenomena,What is a black hole?,Region of space with strong gravity,Star cluster,Planet,Alien base,1
Cosmic Phenomena,What is a neutron star?,Collapsed star with high density,Black hole,White dwarf,Alien ship,1
Cosmic Phenomena,What is dark matter?,Invisible matter affecting gravity,Alien life,Dark energy,Space dust,1
Cosmic Phenomena,What is cosmic microwave background?,Radiation leftover from Big Bang,Star light,Alien signal,Planet glow,1
Cosmic Phenomena,What is Hawking radiation?,Emission from black holes,Star explosion,Alien tech,Space radiation,1
Cosmic Phenomena,What is a quasar?,Active galactic nucleus emitting huge energy,Dying star,Alien beacon,Space station,1
Cosmic Phenomena,What causes a pulsar?,Rapidly spinning neutron star,Black hole,Supernova,Alien ship,1
Cosmic Phenomena,What is the event horizon?,Boundary of black hole,Planet edge,Star surface,Alien portal,1
Cosmic Phenomena,What is cosmic inflation?,Rapid expansion after Big Bang,Alien invasion,Space war,Time travel,1
Cosmic Phenomena,What is a white dwarf?,Dead star core remaining after supernova,Black hole,Planet,Alien base,1
Cosmic Phenomena,What is gravitational lensing?,Light bending by gravity,Star explosion,Alien signal,Space distortion,1
Cosmic Phenomena,What is dark energy?,Mysterious force accelerating universe expansion,Dark matter,Alien force,Space dust,1
Cosmic Phenomena,What is a magnetar?,Neutron star with extremely strong magnetic field,Black hole,White dwarf,Alien tech,1
Cosmic Phenomena,What is cosmic ray?,High-energy particles from space,Alien weapon,Star light,Planetary radiation,1
Cosmic Phenomena,What is the shape of the Milky Way?,Spiral galaxy,Elliptical galaxy,Irregular galaxy,Globular cluster,1
Cosmic Phenomena,What is a wormhole?,Hypothetical shortcut through spacetime,Black hole,Alien portal,Star cluster,1
Cosmic Phenomena,What is a cosmic string?,Hypothetical 1D defect in spacetime,Alien technology,Star filament,Planet ring,1
Cosmic Phenomena,What is an accretion disk?,Matter swirling around black hole,Star core,Planet atmosphere,Alien base,1
Cosmic Phenomena,What is gravitational wave?,Ripples in spacetime from massive events,Alien signal,Star light,Planet orbit,1
Cosmic Phenomena,What is a supercluster?,Large group of galaxy clusters,Star cluster,Planetary system,Alien base,1
Cosmic Phenomena,What is the Big Bang?,Origin event of the universe,Alien invasion,Space war,Time travel,1
Cosmic Phenomena,What is a red giant?,A late phase star swollen in size,Black hole,White dwarf,Alien star,1
Cosmic Phenomena,What is a blue shift?,Light moving towards observer,Light moving away,Star explosion,Alien signal,1
Cosmic Phenomena,What is an event horizon telescope?,Device imaging black holes,Star tracker,Alien scanner,Space probe,1
Cosmic Phenomena,What is a cosmic void?,Large empty space between galaxy clusters,Dense star cluster,Planetary nebula,Alien territory,1
Cosmic Phenomena,What is a tidal disruption event?,Star torn apart by black hole,Planet explosion,Alien attack,Space anomaly,1
Cosmic Phenomena,What is a white hole?,Hypothetical opposite of black hole,Star,Planet,Alien tech,1
Cosmic Phenomena,What is a kilonova?,Explosion from neutron star collision,Supernova,Alien attack,Star formation,1
Cosmic Phenomena,What is gravitational redshift?,Light losing energy escaping gravity,Light gaining energy,Star explosion,Alien signal,1
Cosmic Phenomena,What is cosmic horizon?,Limit of observable universe,Alien base,Space station,Star cluster,1
Cosmic Phenomena,What is a galaxy cluster?,Group of galaxies bound by gravity,Star cluster,Planetary system,Alien territory,1
Cosmic Phenomena,What is an interstellar medium?,Gas and dust between stars,Planet surface,Alien tech,Space station,1
Cosmic Phenomena,What is cosmic censorship hypothesis?,Singularities hidden inside black holes,Alien invasion,Space war,Time travel,1
Cosmic Phenomena,What is the fate of the universe?,Continued expansion or big crunch,Alien invasion,Space war,Time travel,1
Cosmic Phenomena,What is a gamma-ray pulsar?,Pulsar emitting gamma rays,Black hole,White dwarf,Alien tech,1
Cosmic Phenomena,What is the role of neutrinos in astrophysics?,Messengers from nuclear reactions,Alien weapons,Space dust,Planetary radiation,1
category,question,option1,option2,option3,option4,correct_answer
Cosmic Phenomena,What type of star collapses to form a neutron star?,Massive star,Small star,White dwarf,Red dwarf,1
Cosmic Phenomena,What phenomenon causes the bending of light around massive objects?,Gravitational lensing,Magnetic field,Quantum tunneling,Dark matter,1
Cosmic Phenomena,What are cosmic rays primarily composed of?,High-energy protons and atomic nuclei,Photons,Neutrinos,Electrons,1
Cosmic Phenomena,Which telescope was the first to detect gravitational waves?,LIGO,Kepler,Hubble,Chandra,1
Cosmic Phenomena,What is the Chandrasekhar limit?,Maximum mass for a white dwarf star,Maximum black hole mass,Minimum neutron star mass,Maximum planet mass,1
Cosmic Phenomena,What is a Type Ia supernova?,Explosion of a white dwarf in a binary system,Massive star collapse,Neutron star collision,Black hole formation,1
Cosmic Phenomena,What effect causes stars to appear redder as they move away from us?,Redshift,Blueshift,Gravitational lensing,Doppler effect,1
Cosmic Phenomena,What is the primary cause of gamma-ray bursts?,Merging neutron stars or collapsing massive stars,Alien technology,Solar flares,Planetary explosions,1
Cosmic Phenomena,What phenomenon causes time to slow down near a black hole?,Gravitational time dilation,Quantum entanglement,Dark energy,Magnetic reconnection,1
Cosmic Phenomena,What is the main source of energy in quasars?,Supermassive black hole accretion disk,Nuclear fusion in stars,Dark matter annihilation,Alien power source,1

Medicine,What treats muscle atrophy in microgravity?,Resistance training,Electrical stimulation,Medication,All of these,4
Resources,What extracts water from lunar ice?,Thermal mining,Microwave extraction,Drilling,All of these,4
Habitats,What provides Earth-normal pressure in space habitats?,Pressurized hull,Force field,Atmospheric dome,Sealed environment,1

Engineering,What manufactures components in zero gravity?,3D printing,Microgravity foundry,Orbital factory,All of these,4

